drug_code,drug_name,insurance_status,insurance_status_normalized,hospital_status,hospital_status_normalized,document_office_status,document_office_status_normalized,file_required_status,file_required_normalized,max_prescription,hard_to_treat_status,hard_to_treat_normalized,barcode_required_status,barcode_required_normalized,electronic_prescription_only_status,electronic_prescription_only_normalized,price_without_subsidy,organization_share_percent_without_subsidy,government_subsidy,accepted_total_price,related_specialties_button,unrelated_specialties_button,source_page
05561,VALSARTAN 160 mg CAPSULE ORAL CAPSULE,است,covered,نيست,False,خير,False,خير,False,200,نيست,False,خير,False,است,True,5000,70.0,0,5000,True,True,130
06700,BUSULFAN 6 mg/1mL 10 mL INJECTION PARENTERAL INJECTION,است,covered,است,True,خير,False,بله,True,طبق پرونده,است,True,بله,True,است,True,18220800,100.0,29779200,48000000,True,True,130
05624,PIOGLITAZONE 15 mg TABLET ORAL TABLET,است,covered,نيست,False,خير,False,خير,False,200,نيست,False,خير,False,نيست,False,27046,70.0,954,28000,True,True,130
16792,GADOBUTROL 604.72 mg/1mL 7.5 mL INJECTION PARENTERAL INJECTION,است,covered,نيست,False,خير,False,خير,False,2,نيست,False,بله,True,است,True,2657800,90.0,9342200,12000000,True,True,130
06659,"DEFERASIROX 250 mg TABLET, FOR SUSPENSION ORAL TABLET",است,covered,نيست,False,خير,False,بله,True,طبق پرونده,نيست,False,بله,True,است,True,50660,100.0,129340,180000,True,True,131
10019,PRAMIPEXOLE (AS DIHYDROCHLORIDE) 0.35 mg TABLET ORAL TABLET,است,covered,نيست,False,خير,False,خير,False,200,نيست,False,خير,False,نيست,False,22234,70.0,1766,24000,True,True,131
15691,CETUXIMAB 5 mg/1mL 20 mL INJECTION PARENTERAL INJECTION,است,covered,نيست,False,خير,False,بله,True,طبق پرونده,است,True,بله,True,است,True,19000000,90.0,36000000,55000000,True,True,131
14735,"TRIPTORELIN (AS PAMOATE) 11.25 mg INJECTION, POWDER, LYOPHILIZED, FOR SUSPENSION, EXTENDED RELEASE PARENTERAL INJECTION",است,covered,نيست,False,خير,False,خير,False,1,است,True,بله,True,است,True,26000000,90.0,30000000,56000000,True,True,131
12597,INSULIN GLARGINE 300 [iU]/1mL 1.5 mL INJECTION PARENTERAL,است,covered,نيست,False,خير,False,بله,True,طبق پرونده,است,True,بله,True,است,True,2000000,90.0,9000000,11000000,True,True,131
18099,FINGOLIMOD (AS HYDROCHLORIDE) 0.5 mg CAPSULE ORAL CAPSULE,است,covered,نيست,False,خير,False,بله,True,طبق پرونده,است,True,بله,True,است,True,935351,95.0,864649,1800000,True,True,131
